pot.ID,treatment,variety,block,num.dead,num.pupae,total.out,num.alive,num.tot.infect,perc.out,num.bb.infect,num.met.infect,prop.met.inf,perc.met.inf,prop.bb.inf,perc.bb.inf,perc.alive,corr.mor.met
C+1,Control,Cochise,1,5,2,7,3,1,70,0,1,0.1428571429,14.28571429,0,0,42.85714286,74.07407407
C+2,Control,Cochise,2,10,0,10,0,6,100,0,2,0.2,20,0,0,0,#DIV/0!
C+3,Control,Cochise,3,9,0,9,1,6,90,0,4,0.4444444444,44.44444444,0,0,11.11111111,0
C+4,Control,Cochise,4,9,0,9,1,2,90,0,1,0.1111111111,11.11111111,0,0,11.11111111,0
C+5,Control,Cochise,5,9,0,9,1,2,90,0,1,0.1111111111,11.11111111,0,0,11.11111111,100
C+6,Control,Cochise,6,9,1,10,0,2,100,0,2,0.2,20,0,0,0,#DIV/0!
C-1,Control,Armani,1,10,0,10,0,2,100,0,0,0,0,0,0,0,#DIV/0!
C-2,Control,Armani,2,8,0,8,2,5,80,0,4,0.5,50,0,0,25,100
C-3,Control,Armani,3,10,0,10,0,2,100,0,1,0.1,10,0,0,0,#DIV/0!
C-4,Control,Armani,4,10,0,10,0,6,100,0,5,0.5,50,0,0,0,#DIV/0!
C-5,Control,Armani,5,10,0,10,0,4,100,0,1,0.1,10,0,0,0,#DIV/0!
C-6,Control,Armani,6,9,1,10,0,3,100,0,0,0,0,0,0,0,#DIV/0!
10M+1,10Met,Cochise,1,7,2,9,1,4,90,0,0,0,0,0,0,11.11111111,0
10M+2,10Met,Cochise,2,10,0,10,0,3,100,0,2,0.2,20,0,0,0,#DIV/0!
10M+3,10Met,Cochise,3,7,2,9,1,1,90,0,0,0,0,0,0,11.11111111,100
10M+4,10Met,Cochise,4,9,0,9,1,5,90,0,5,0.5555555556,55.55555556,0,0,11.11111111,0
10M+5,10Met,Cochise,5,10,0,10,0,2,100,0,1,0.1,10,0,0,0,#DIV/0!
10M+6,10Met,Cochise,6,9,1,10,0,4,100,0,0,0,0,0,0,0,#DIV/0!
10M-1,10Met,Armani,1,9,0,9,1,7,90,1,4,0.4444444444,44.44444444,0.1111111111,11.11111111,11.11111111,100
10M-2,10Met,Armani,2,10,0,10,0,2,100,0,1,0.1,10,0,0,0,#DIV/0!
10M-3,10Met,Armani,3,10,0,10,0,4,100,0,1,0.1,10,0,0,0,#DIV/0!
10M-4,10Met,Armani,4,10,0,10,0,6,100,0,5,0.5,50,0,0,0,#DIV/0!
10M-5,10Met,Armani,5,8,2,10,0,4,100,0,3,0.3,30,0,0,0,#DIV/0!
10M-6,10Met,Armani,6,10,0,10,0,9,100,0,0,0,0,0,0,0,#DIV/0!
10B+1,10Bb,Cochise,1,9,0,9,1,5,90,0,2,0.2222222222,22.22222222,0,0,11.11111111,100
10B+2,10Bb,Cochise,2,7,2,9,1,5,90,0,0,0,0,0,0,11.11111111,#VALUE!
10B+3,10Bb,Cochise,3,9,1,10,0,5,100,0,3,0.3,30,0,0,0,#DIV/0!
10B+4,10Bb,Cochise,4,9,0,9,1,3,90,0,0,0,0,0,0,11.11111111,85.77642483
10B+5,10Bb,Cochise,5,10,0,10,0,7,100,0,4,0.4,40,0,0,0,#DIV/0!
10B+6,10Bb,Cochise,6,8,1,9,1,0,90,0,0,0,0,0,0,11.11111111,100
10B-1,10Bb,Armani,1,10,0,10,0,4,100,0,1,0.1,10,0,0,0,#DIV/0!
10B-2,10Bb,Armani,2,10,0,10,0,2,100,0,0,0,0,0,0,0,#DIV/0!
10B-3,10Bb,Armani,3,8,0,8,2,3,80,0,2,0.25,25,0,0,25,100
10B-4,10Bb,Armani,4,7,2,9,1,3,90,0,3,0.3333333333,33.33333333,0,0,11.11111111,100
10B-5,10Bb,Armani,5,9,1,10,0,4,100,0,1,0.1,10,0,0,0,#DIV/0!
10B-6,10Bb,Armani,6,10,0,10,0,4,100,0,4,0.4,40,0,0,0,#DIV/0!
,,,,,,,,,,,,,,,,,
,,,,num.dead,num.pupae,total.out,num.alive,num.infect,,num.bb.infect,num.met.infect,prop.met.inf,,prop.bb.inf,,perc.alive,
,,,avg,8.972222222,0.5,9.472222222,0.5277777778,3.805555556,,0.02777777778,1.777777778,0.1893077601,,0.003086419753,,6.283068783,
,,,sem,0.2011321571,0.1290994449,0.1227082688,0.1227082688,0.3256725506,,0.02777777778,0.2792026945,0.02983618824,,0.003086419753,,1.580397241,
,,,sd,1.206792943,0.7745966692,0.7362496126,0.7362496126,1.954035304,,0.1666666667,1.675216167,0.1790171295,,0.01851851852,,9.482383449,
